Tweet,Sentiment
I just received my order.,Neutral
I don’t have an opinion yet.,Neutral
Terrible experience.,Negative
Just trying it out.,Neutral
Horrible and cheap.,Negative
This made my day!,Positive
Best purchase ever!,Positive
Worst customer service ever.,Negative
Delivered on time.,Neutral
Using the product as expected.,Neutral
"It's okay, nothing special.",Neutral
What a great experience!,Positive
Just trying it out.,Neutral
Broken when it arrived.,Negative
Highly recommend this brand!,Positive
This is the worst!,Negative
Packaging was average.,Neutral
Absolutely thrilled with the update!,Positive
I’ll see how it performs.,Neutral
Broken when it arrived.,Negative
Amazing service!,Positive
Never buying from here again.,Negative
"Poor quality, not worth the price.",Negative
"Poor quality, not worth the price.",Negative
Terrible experience.,Negative
Completely disappointed with the service.,Negative
"Excellent performance, as expected.",Positive
"Excellent performance, as expected.",Positive
"Not good, not bad.",Neutral
What a great experience!,Positive
Very frustrated and angry.,Negative
What a great experience!,Positive
I don’t have an opinion yet.,Neutral
"Excellent performance, as expected.",Positive
I just received my order.,Neutral
Highly recommend this brand!,Positive
What a great experience!,Positive
Just trying it out.,Neutral
Completely disappointed with the service.,Negative
I love this product!,Positive
Best purchase ever!,Positive
Worst customer service ever.,Negative
Very frustrated and angry.,Negative
Completely disappointed with the service.,Negative
I hate this so much.,Negative
"Poor quality, not worth the price.",Negative
Amazing service!,Positive
"Not good, not bad.",Neutral
"It's okay, nothing special.",Neutral
Packaging was average.,Neutral
Worst customer service ever.,Negative
Horrible and cheap.,Negative
Horrible and cheap.,Negative
Never buying from here again.,Negative
This made my day!,Positive
Completely disappointed with the service.,Negative
Highly recommend this brand!,Positive
Highly recommend this brand!,Positive
I hate this so much.,Negative
I hate this so much.,Negative
Packaging was average.,Neutral
Amazing service!,Positive
I’ll see how it performs.,Neutral
"Poor quality, not worth the price.",Negative
What a great experience!,Positive
Amazing service!,Positive
This made my day!,Positive
I don’t have an opinion yet.,Neutral
I just received my order.,Neutral
"Poor quality, not worth the price.",Negative
I just received my order.,Neutral
Horrible and cheap.,Negative
This is the worst!,Negative
I love this product!,Positive
Terrible experience.,Negative
I just received my order.,Neutral
"Excellent performance, as expected.",Positive
Highly recommend this brand!,Positive
